seed,config,bbox_P,bbox_R,bbox_F1,attn_band_iou
0,with_attn,0.8260869565217391,0.3220338983050847,0.4634146341463415,0.1883081289862031
0,no_attn,0.5540540540540541,0.3474576271186441,0.4270833333333333,nan
1,with_attn,0.65,0.36792452830188677,0.46987951807228917,0.19161153257442057
1,no_attn,0.6938775510204082,0.32075471698113206,0.4387096774193548,nan
2,with_attn,0.6818181818181818,0.41284403669724773,0.5142857142857142,0.1791106694141031
2,no_attn,0.7413793103448276,0.3944954128440367,0.5149700598802396,nan
3,with_attn,0.6451612903225806,0.4878048780487805,0.5555555555555556,0.19216034019871053
3,no_attn,0.5520833333333334,0.43089430894308944,0.4840182648401827,nan
4,with_attn,0.5909090909090909,0.35135135135135137,0.4406779661016949,0.15988185369654723
4,no_attn,0.5652173913043478,0.35135135135135137,0.43333333333333335,nan
