seed,lr,lam_att,best_epoch,val_P,val_R,val_F1,val_attn_iou
10,0.0002,0.1,150,0.8536585365853658,0.8974358974358975,0.875,0.5172910662824207
10,0.0002,0.3,135,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6133530530319037
10,0.0002,0.5,150,0.8313253012048193,0.8846153846153846,0.8571428571428571,0.6298799673697705
10,0.0002,0.7,145,0.7362637362637363,0.8589743589743589,0.7928994082840237,0.6883365200764818
10,0.0002,1.0,135,0.7777777777777778,0.8974358974358975,0.8333333333333333,0.701202905129369
10,0.0002,3,145,0.717391304347826,0.8461538461538461,0.776470588235294,0.7629816664836975
10,0.0002,5,105,0.6804123711340206,0.8461538461538461,0.7542857142857144,0.7307953772943576
10,0.0002,7,115,0.6631578947368421,0.8076923076923077,0.7283236994219653,0.726988175284025
10,0.0002,10,120,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7757894736842105
10,0.0005,0.1,145,0.7956989247311828,0.9487179487179487,0.8654970760233918,0.43542955116036985
10,0.0005,0.3,145,0.7888888888888889,0.9102564102564102,0.8452380952380951,0.7516574896055737
10,0.0005,0.5,40,0.7717391304347826,0.9102564102564102,0.8352941176470589,0.4303469145142116
10,0.0005,0.7,150,0.7578947368421053,0.9230769230769231,0.8323699421965319,0.7871643745907008
10,0.0005,1.0,80,0.813953488372093,0.8974358974358975,0.8536585365853658,0.6748723186925434
10,0.0005,3,150,0.788235294117647,0.8589743589743589,0.8220858895705521,0.8158486102897694
10,0.0005,5,140,0.8390804597701149,0.9358974358974359,0.8848484848484849,0.8339048925468678
10,0.0005,7,145,0.8433734939759037,0.8974358974358975,0.8695652173913043,0.8599189318073438
10,0.0005,10,150,0.8928571428571429,0.9615384615384616,0.9259259259259259,0.8610650887573964
10,0.001,0.1,145,0.7978723404255319,0.9615384615384616,0.8720930232558141,0.6480804387568556
10,0.001,0.3,145,0.7128712871287128,0.9230769230769231,0.8044692737430168,0.6804665838034228
10,0.001,0.5,135,0.797752808988764,0.9102564102564102,0.8502994011976048,0.7863881401617251
10,0.001,0.7,145,0.75,0.9615384615384616,0.8426966292134831,0.7949047313209163
10,0.001,1.0,145,0.8021978021978022,0.9358974358974359,0.8639053254437871,0.8249302973977695
10,0.001,3,150,0.8117647058823529,0.8846153846153846,0.8466257668711656,0.8631431571578579
10,0.001,5,145,0.797752808988764,0.9102564102564102,0.8502994011976048,0.7584074636580603
10,0.001,7,120,0.8181818181818182,0.9230769230769231,0.8674698795180724,0.8926413082118735
10,0.001,10,95,0.7019230769230769,0.9358974358974359,0.8021978021978021,0.815090213231274
11,0.0002,0.1,95,0.7439024390243902,0.7721518987341772,0.7577639751552796,0.43817034700315455
11,0.0002,0.3,145,0.7530864197530864,0.7721518987341772,0.7625,0.5570706477018925
11,0.0002,0.5,125,0.7419354838709677,0.8734177215189873,0.8023255813953488,0.570969278399619
11,0.0002,0.7,145,0.7866666666666666,0.7468354430379747,0.7662337662337663,0.559907271839922
11,0.0002,1.0,130,0.75,0.759493670886076,0.7547169811320755,0.5896380583464471
11,0.0002,3,125,0.7692307692307693,0.759493670886076,0.764331210191083,0.7412132883967261
11,0.0002,5,125,0.6666666666666666,0.7848101265822784,0.7209302325581395,0.789611627352871
11,0.0002,7,115,0.7625,0.7721518987341772,0.7672955974842767,0.7271510283558477
11,0.0002,10,140,0.7471264367816092,0.8227848101265823,0.7831325301204819,0.7772251031855223
11,0.0005,0.1,120,0.7956989247311828,0.9367088607594937,0.8604651162790697,0.4329044117647059
11,0.0005,0.3,135,0.9078947368421053,0.8734177215189873,0.8903225806451613,0.5832928015564203
11,0.0005,0.5,150,0.8292682926829268,0.8607594936708861,0.8447204968944099,0.7974847202632817
11,0.0005,0.7,140,0.8734177215189873,0.8734177215189873,0.8734177215189873,0.8110396207246867
11,0.0005,1.0,125,0.8705882352941177,0.9367088607594937,0.9024390243902438,0.764677399830529
11,0.0005,3,115,0.8470588235294118,0.9113924050632911,0.8780487804878048,0.836370218414384
11,0.0005,5,105,0.8275862068965517,0.9113924050632911,0.8674698795180723,0.8447182239570628
11,0.0005,7,135,0.7976190476190477,0.8481012658227848,0.8220858895705523,0.8643228222786034
11,0.0005,10,140,0.7653061224489796,0.9493670886075949,0.8474576271186441,0.8439816448994
11,0.001,0.1,115,0.8518518518518519,0.8734177215189873,0.8624999999999999,0.5988365588992057
11,0.001,0.3,135,0.7551020408163265,0.9367088607594937,0.8361581920903955,0.6781929726715002
11,0.001,0.5,120,0.8241758241758241,0.9493670886075949,0.8823529411764706,0.691033975223844
11,0.001,0.7,135,0.8111111111111111,0.9240506329113924,0.8639053254437871,0.8096975403083442
11,0.001,1.0,125,0.8837209302325582,0.9620253164556962,0.9212121212121213,0.7992488490428883
11,0.001,3,45,0.797752808988764,0.8987341772151899,0.8452380952380952,0.5430166241960928
11,0.001,5,150,0.7789473684210526,0.9367088607594937,0.8505747126436782,0.8625394677492106
11,0.001,7,140,0.8172043010752689,0.9620253164556962,0.8837209302325582,0.9129051987767585
11,0.001,10,145,0.8085106382978723,0.9620253164556962,0.8786127167630058,0.8965433003542201
12,0.0002,0.1,135,0.7402597402597403,0.8382352941176471,0.7862068965517242,0.4690614617940199
12,0.0002,0.3,150,0.6585365853658537,0.7941176470588235,0.72,0.6149445016592288
12,0.0002,0.5,100,0.7125,0.8382352941176471,0.7702702702702703,0.5262021143571672
12,0.0002,0.7,125,0.675,0.7941176470588235,0.7297297297297296,0.6126093294460642
12,0.0002,1.0,145,0.7142857142857143,0.8088235294117647,0.7586206896551725,0.7015269025690741
12,0.0002,3,150,0.6867469879518072,0.8382352941176471,0.7549668874172185,0.7409458883681296
12,0.0002,5,150,0.675,0.7941176470588235,0.7297297297297296,0.7790467311502156
12,0.0002,7,145,0.6626506024096386,0.8088235294117647,0.7284768211920529,0.8077201447527141
12,0.0002,10,125,0.6395348837209303,0.8088235294117647,0.7142857142857143,0.775294695481336
12,0.0005,0.1,95,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.4517936012065065
12,0.0005,0.3,135,0.7532467532467533,0.8529411764705882,0.7999999999999999,0.6081662772106752
12,0.0005,0.5,110,0.8181818181818182,0.7941176470588235,0.8059701492537314,0.6235493230174082
12,0.0005,0.7,85,0.7023809523809523,0.8676470588235294,0.7763157894736842,0.645881805490926
12,0.0005,1.0,105,0.782051282051282,0.8970588235294118,0.8356164383561644,0.6557774331136099
12,0.0005,3,120,0.7261904761904762,0.8970588235294118,0.8026315789473685,0.8014868161226624
12,0.0005,5,110,0.7307692307692307,0.8382352941176471,0.7808219178082191,0.8494583948793698
12,0.0005,7,125,0.7439024390243902,0.8970588235294118,0.8133333333333334,0.7905949884093167
12,0.0005,10,150,0.8,0.8823529411764706,0.8391608391608392,0.6449453036589966
12,0.001,0.1,135,0.6170212765957447,0.8529411764705882,0.7160493827160493,0.5163265306122449
12,0.001,0.3,125,0.821917808219178,0.8823529411764706,0.8510638297872339,0.6880309710721583
12,0.001,0.5,120,0.8428571428571429,0.8676470588235294,0.855072463768116,0.6537265148687321
12,0.001,0.7,125,0.7215189873417721,0.8382352941176471,0.7755102040816326,0.7395783988630981
12,0.001,1.0,130,0.7590361445783133,0.9264705882352942,0.8344370860927153,0.7976609657947686
12,0.001,3,95,0.8133333333333334,0.8970588235294118,0.8531468531468531,0.7499050272255287
12,0.001,5,135,0.8082191780821918,0.8676470588235294,0.8368794326241135,0.8259869681870449
12,0.001,7,80,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.8470861900097943
12,0.001,10,135,0.8378378378378378,0.9117647058823529,0.8732394366197184,0.8828065739570164
13,0.0002,0.1,140,0.8076923076923077,0.9,0.8513513513513514,0.3959871088470735
13,0.0002,0.3,125,0.8148148148148148,0.9428571428571428,0.8741721854304636,0.41592827004219407
13,0.0002,0.5,130,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.5669819957277998
13,0.0002,0.7,150,0.9180327868852459,0.8,0.8549618320610688,0.5872587673791243
