train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.5,0,none,-,0.5705521472392638,0.3891213389121339,0.4626865671641791,nan,nan
0.5,0,abs,0.5,0.179519595448799,0.5941422594142259,0.2757281553398058,0.2078297975938487,0.25418826086591056
0.5,0,abs,1,0.6650246305418719,0.5648535564853556,0.6108597285067873,0.23833072455292384,0.29175843097802984
0.5,0,abs,3,0.4120603015075377,0.6861924686192469,0.5149136577708006,0.3212886486039468,0.40388396581195746
0.5,0,abs,5,0.43977591036414565,0.6569037656903766,0.5268456375838927,0.30948472664825954,0.3721453728927211
0.5,1,none,-,0.378839590443686,0.46443514644351463,0.4172932330827067,nan,nan
0.5,1,abs,0.5,0.10115236875800256,0.3305439330543933,0.15490196078431373,0.1644583432338715,0.23788491683528545
0.5,1,abs,1,0.14030612244897958,0.4602510460251046,0.21505376344086022,0.2115173065170287,0.2525809745435627
0.5,1,abs,3,0.4277286135693215,0.606694560669456,0.5017301038062284,0.32709545639796367,0.4286404557261938
0.5,1,abs,5,0.21052631578947367,0.6861924686192469,0.32220039292730845,0.32030669604484824,0.41169260790682016
0.5,2,none,-,0.5045454545454545,0.47435897435897434,0.48898678414096913,nan,nan
0.5,2,abs,0.5,0.6685082872928176,0.5170940170940171,0.583132530120482,0.24370488296915635,0.26353794711665696
0.5,2,abs,1,0.6698564593301436,0.5982905982905983,0.6320541760722348,0.2494174420859547,0.25295098738190214
0.5,2,abs,3,0.5691699604743083,0.6153846153846154,0.591375770020534,0.29704017571040137,0.31018979720857326
0.5,2,abs,5,0.5158227848101266,0.6965811965811965,0.5927272727272728,0.34781983019139445,0.3924343029111639
0.5,3,none,-,0.4957983193277311,0.5244444444444445,0.509719222462203,nan,nan
0.5,3,abs,0.5,0.26580226904376014,0.7288888888888889,0.38954869358669836,0.22760879381538646,0.2836403296220719
0.5,3,abs,1,0.5844748858447488,0.5688888888888889,0.5765765765765765,0.2805017071184697,0.3425066501785175
0.5,3,abs,3,0.1559748427672956,0.5511111111111111,0.24313725490196078,0.31377791978832953,0.4003330414086791
0.5,3,abs,5,0.1761006289308176,0.6222222222222222,0.2745098039215686,0.3031256213110814,0.3685181105993366
0.5,4,none,-,0.6338797814207651,0.4978540772532189,0.5576923076923077,nan,nan
0.5,4,abs,0.5,0.7393939393939394,0.5236051502145923,0.6130653266331658,0.21169508071571652,0.23970125384902866
0.5,4,abs,1,0.6282722513089005,0.5150214592274678,0.5660377358490566,0.30695122014985854,0.3922936949492845
0.5,4,abs,3,0.12594458438287154,0.4291845493562232,0.19474196689386564,0.26672760453042976,0.30820091330458094
0.5,4,abs,5,0.5574912891986062,0.6866952789699571,0.6153846153846154,0.31962896743532143,0.3855941442454446
