fold,best_val_loss,global_iou,pixel_precision,pixel_recall,pixel_f1,mean_image_iou,mAP50,instance_recall,mean_vertex_dist
1,1.195782,0.36198715081780547,0.4882313405249185,0.5833217899996587,0.531557365428081,0.2982881545712345,0.3,0.5729166666666666,7.263817314171274
2,0.83122,0.519472450855067,0.6829309400412927,0.6845784334270671,0.6837536943335029,0.37553947404587484,0.46406371406371405,0.6376811594202898,7.55355635904192
3,0.581411,0.35449985073609663,0.39451613592419693,0.7775293460033539,0.5234402211907891,0.3350265158471528,0.28064921735807813,0.8958333333333334,12.441525620170134
4,0.690041,0.28102837948190174,0.3522476255236573,0.5815821592637749,0.4387543382849343,0.2741297830234551,0.03496503496503496,0.875,17.381173780857978
5,0.717746,0.2665715900398638,0.35514581757217106,0.5166376273625999,0.4209341061115602,0.20507296372606945,0.09167303284950344,0.5053763440860215,11.777281812977915
6,0.597888,0.445386204362865,0.6179800946791546,0.6146027181973446,0.6162867792960484,0.43762978731217866,0.4156218878930147,0.6833333333333333,8.016786916414338
7,0.90855,0.4109672247757284,0.476450126684354,0.7493844735418914,0.5825326308923314,0.409453488430294,0.36514387573211093,0.8333333333333334,8.885781584049925
