seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0,abs,0.3,0.8148148148148148,0.6111111111111112,0.6984126984126984,0.22748729606846751,0.2975212189485319
1,abs,0.3,0.660377358490566,0.5833333333333334,0.6194690265486726,0.22540639517683086,0.2883634417958092
2,abs,0.3,0.7058823529411765,0.5217391304347826,0.6,0.24540969273045216,0.3133624904827836
3,abs,0.3,0.5375,0.589041095890411,0.5620915032679739,0.21760389472941508,0.28288030915427953
4,abs,0.3,0.5540540540540541,0.5942028985507246,0.5734265734265734,0.19134153932651954,0.22711745035485367
0,abs,0.5,0.7288135593220338,0.5972222222222222,0.6564885496183206,0.2396688712326335,0.30130277322799276
1,abs,0.5,0.78,0.65,0.709090909090909,0.2400086072052239,0.29037897995537304
2,abs,0.5,0.7818181818181819,0.6231884057971014,0.6935483870967741,0.26928375733855187,0.3411445355741307
3,abs,0.5,0.5571428571428572,0.5342465753424658,0.5454545454545454,0.23331299491092442,0.3243228208157234
4,abs,0.5,0.5,0.5652173913043478,0.5306122448979592,0.2140619266702419,0.25887643952349515
0,abs,2,0.7719298245614035,0.6111111111111112,0.6821705426356589,0.2788599693793428,0.3483650323250913
1,abs,2,0.6086956521739131,0.7,0.6511627906976744,0.2783722805650444,0.3118929159342467
2,abs,2,0.654320987654321,0.7681159420289855,0.7066666666666667,0.3054337077512107,0.3895087035052711
3,abs,2,0.6363636363636364,0.6712328767123288,0.6533333333333333,0.27746269639733917,0.37405331773334183
4,abs,2,0.8085106382978723,0.5507246376811594,0.6551724137931035,0.23669262158139345,0.28666999598014326
