seed,best_val_loss,n_gt,bbox_recall,bbox_mAP50
0,2.030059,118,0.4067796610169492,0.3795804195804196
1,3.055826,106,0.03773584905660377,0.09090909090909091
2,2.155821,109,0.5137614678899083,0.3800743053865345
3,2.62634,123,0.3821138211382114,0.24316134316134316
4,2.209127,111,0.32432432432432434,0.2987012987012987
