hm_sigma,lambda_size,lr,hm_thresh,best_val_loss,global_iou,pixel_precision,pixel_recall,pixel_f1,mean_image_iou
1.5,0.5,0.0005,0.1,0.781094,0.150900888173076,0.15720890800763004,0.7899496099951681,0.26223090054716003,0.15999841752531485
1.5,0.5,0.0005,0.2,0.781094,0.3954033558481255,0.5352825143558497,0.6020865998086955,0.5667226672359542,0.33506405356156194
1.5,0.5,0.0005,0.3,0.781094,0.29686278636281643,0.5552322312190733,0.38948219586032795,0.4578168014141238,0.2871624828032377
1.5,0.5,0.001,0.1,0.619643,0.17320556687555266,0.1863353073922518,0.7108244830340502,0.29526891410314177,0.19162838039565036
1.5,0.5,0.001,0.2,0.619643,0.3257160861594867,0.43733462556150393,0.5606701574810914,0.49138135919141634,0.30077983546493964
1.5,0.5,0.001,0.3,0.619643,0.36413685500947285,0.59626263732253,0.4833002987900482,0.5338714421097349,0.3407548496357125
1.5,1.0,0.0005,0.1,0.760692,0.12745500455983608,0.13201061351966545,0.7869321263398712,0.22609328805914541,0.13500270083143348
1.5,1.0,0.0005,0.2,0.760692,0.33500611207617575,0.4233591479155233,0.6161583291423838,0.5018795180722891,0.2888243151814348
1.5,1.0,0.0005,0.3,0.760692,0.29956942040609563,0.5111279170267934,0.41987397568263174,0.4610287310584528,0.2878483672185067
1.5,1.0,0.001,0.1,0.574928,0.1788602122935845,0.19830809709366928,0.6458696959835912,0.3034460073015697,0.19654951239397592
1.5,1.0,0.001,0.2,0.574928,0.3602482717714431,0.559236199412461,0.5030914415880248,0.5296801756671875,0.3252586504619857
1.5,1.0,0.001,0.3,0.574928,0.32596094100250905,0.6169408262002233,0.4086718141387845,0.4916599440041759,0.30295311931581576
1.5,2.0,0.0005,0.1,0.730534,0.12677386460107198,0.13247421327524211,0.7465905393012454,0.2250209533320256,0.12172618481709849
1.5,2.0,0.0005,0.2,0.730534,0.272801043891482,0.4439631492203017,0.41438136654537566,0.4286625080969698,0.2615894411667203
1.5,2.0,0.0005,0.3,0.730534,0.277543720190779,0.5887262671567801,0.3442988294924514,0.43449584668512586,0.26712229193585435
1.5,2.0,0.001,0.1,0.640635,0.1795292207792208,0.1983410303546608,0.6543206224299618,0.30440826325713266,0.16996479563637162
1.5,2.0,0.001,0.2,0.640635,0.29272925900927543,0.49860737439702274,0.4148448362571369,0.4528856401588959,0.2701107867141345
1.5,2.0,0.001,0.3,0.640635,0.30645306085806856,0.639998636487592,0.3702827165241744,0.46913749914105984,0.29139354249326194
2.0,0.5,0.0005,0.1,0.701465,0.16397132757549068,0.17811097266608625,0.6737863503239357,0.281744616367891,0.18259626129412837
2.0,0.5,0.0005,0.2,0.701465,0.3417841863413088,0.5084116555198728,0.5104872348608112,0.509447331128956,0.3210163119319457
2.0,0.5,0.0005,0.3,0.701465,0.3743499345946463,0.6619978560144437,0.46280902089558124,0.5447665476915933,0.3538434749790821
2.0,0.5,0.001,0.1,0.631478,0.2293782749052453,0.2532968505380742,0.7083789407251821,0.37316142571809263,0.2390440812197131
