train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.8,10,none,-,1.0,0.8431372549019608,0.9148936170212766,nan,nan
0.8,10,abs,1,0.9555555555555556,0.8431372549019608,0.8958333333333333,0.398120658346064,0.46044788299968786
0.8,11,none,-,0.9726027397260274,0.7473684210526316,0.8452380952380952,nan,nan
0.8,11,abs,1,0.9868421052631579,0.7894736842105263,0.8771929824561403,0.37555716243780823,0.5442131844221524
0.8,12,none,-,0.9855072463768116,0.723404255319149,0.834355828220859,nan,nan
0.8,12,abs,1,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.3819505140877525,0.47408344595515656
0.8,13,none,-,1.0,0.7441860465116279,0.8533333333333333,nan,nan
0.8,13,abs,1,0.974025974025974,0.872093023255814,0.9202453987730062,0.4294869147021509,0.5708857151358167
0.8,14,none,-,0.9726027397260274,0.7888888888888889,0.8711656441717791,nan,nan
0.8,14,abs,1,0.9746835443037974,0.8555555555555555,0.9112426035502957,0.3929052064933973,0.5253658251349407
0.8,15,none,-,0.9010989010989011,0.7961165048543689,0.845360824742268,nan,nan
0.8,15,abs,1,0.945054945054945,0.8349514563106796,0.88659793814433,0.421910993561767,0.5247730619739741
0.8,16,none,-,0.8488372093023255,0.73,0.7849462365591398,nan,nan
0.8,16,abs,1,0.9080459770114943,0.79,0.8449197860962566,0.3627084858589525,0.4831926013739576
0.8,17,none,-,0.3719806763285024,0.7857142857142857,0.5049180327868852,nan,nan
0.8,17,abs,1,0.9382716049382716,0.7755102040816326,0.8491620111731844,0.37154471544715445,0.4326007629488231
0.8,18,none,-,0.9666666666666667,0.7341772151898734,0.8345323741007195,nan,nan
0.8,18,abs,1,0.6274509803921569,0.810126582278481,0.7071823204419889,0.3673396710427041,0.4572417094956137
0.8,19,none,-,0.8888888888888888,0.6464646464646465,0.7485380116959064,nan,nan
0.8,19,abs,1,0.922077922077922,0.7171717171717171,0.8068181818181818,0.3863310900551297,0.4480616842721781
