invert_aug,seed,map50,map50_95
True,0,0.709855080405987,0.31977091641747546
True,1,0.5655779144000725,0.24868799897849106
True,2,0.45962064379933887,0.19273953832726629
True,3,0.6707887256872362,0.34127567420796207
True,4,0.6821662101016295,0.31708107627943605
True,5,0.6486786422249171,0.2939566160316878
True,6,0.6782495033806355,0.28137820307780015
True,7,0.7666474781014819,0.3489396122380619
True,8,0.6730771129559997,0.288233411387831
True,9,0.6513944171470681,0.3165992496577076
False,0,0.6075439091972807,0.2708522772958514
False,1,0.5258351168548767,0.2333361808993298
False,2,0.49723831779746974,0.21530928930156285
False,3,0.6964008377573674,0.3398368493463934
False,4,0.7008683103472314,0.2929235055350651
False,5,0.6880695335587079,0.3107517759647598
False,6,0.7243015625661352,0.3225973234400464
False,7,0.7107151825028145,0.3480053103635909
False,8,0.6122575827575304,0.30413410058785906
False,9,0.6785111818366258,0.33278221352133674
