config,bbox_P,bbox_R,bbox_F1,attn_band_iou
no_sa,0.25263157894736843,0.4,0.3096774193548387,0.30365356814298855
with_sa,0.391304347826087,0.45,0.4186046511627907,0.3446496126823996
