seed,n_gt,bbox_recall,bbox_mAP50
0,118,0.940677966101695,0.9066115702479339
1,106,0.9811320754716981,0.9010408196454708
2,109,0.926605504587156,0.8918167782775709
3,123,0.967479674796748,0.9075369075369075
4,111,0.918918918918919,0.9038557747284163
