seed,n_gt,bbox_recall,bbox_mAP50
0,118,0.9576271186440678,0.9066115702479339
1,106,0.9905660377358491,0.9010408196454708
2,109,0.9541284403669725,0.8918167782775709
3,123,0.967479674796748,0.9075369075369075
4,111,0.9459459459459459,0.9038557747284163
