fold,best_val_loss,global_iou,pixel_precision,pixel_recall,pixel_f1,mean_image_iou,mAP50
1,1.129749,0.39621995533664806,0.483075609524713,0.6878613497595505,0.5675609402690623,0.3699866084042787,0.19347319347319347
2,0.699625,0.3519034354688951,0.7064242983686294,0.41218266750908883,0.5206043956043956,0.3376032177109284,0.14998726763432646
3,1.231152,0.41911722457797546,0.5772347429729046,0.6047521928733688,0.5906731555634732,0.3554679882102349,0.11994949494949494
4,1.245507,0.386298856599941,0.5741065342292336,0.5414676708302718,0.5573096374722314,0.3914825672539777,0.15584415584415584
5,0.873425,0.4428431240499509,0.6693325578013669,0.5668579591635674,0.6138479182780786,0.4445198883459882,0.22668240850059032
6,1.40838,0.4180034356778205,0.6229919045129185,0.559544630133437,0.5895661818026704,0.43385867956915714,0.24564908775435093
7,1.046591,0.3828210424006804,0.5605680992691208,0.5469615657230475,0.5536812510982253,0.40829205865805035,0.21084529505582134
