seed,best_val_loss,global_iou,pixel_precision,pixel_recall,pixel_f1,mean_image_iou,mAP50,instance_recall,mean_vertex_dist
0,1.59211,0.4905102531377075,0.5522418342803309,0.8144035496115998,0.6581776302512821,0.49173293832401255,0.4655925629774773,0.9322033898305084,7.080765246545709
1,1.851044,0.5068664500934652,0.5649462662070412,0.8313751477512275,0.6727423655387991,0.4924311373701292,0.4528906171348032,0.8773584905660378,5.726992004904339
2,1.580801,0.5667668562915447,0.6586621517351942,0.8024620190319446,0.7234858894488645,0.5383955102017546,0.5361277411637124,0.8532110091743119,5.563575606108367
3,1.801832,0.5003484863978037,0.574301691153884,0.7953159484820891,0.6669763604042332,0.52035475293481,0.6081227678352503,0.9349593495934959,6.3849029428415305
4,1.606628,0.437984457762706,0.525258563482258,0.7249729691088295,0.6091643833816477,0.44305785222661015,0.3718272173573617,0.7837837837837838,7.165388252419328
