seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0,abs,5,0.45121951219512196,0.5138888888888888,0.4805194805194805,0.30110584256250417,0.3612571841852817
1,abs,5,0.4725274725274725,0.7166666666666667,0.5695364238410596,0.29777931806670044,0.3694907814497128
2,abs,5,0.6944444444444444,0.7246376811594203,0.7092198581560285,0.3370476824652939,0.4223271201578124
3,abs,5,0.5111111111111111,0.6301369863013698,0.5644171779141105,0.29157139958059936,0.4328095670207403
4,abs,5,0.5942028985507246,0.5942028985507246,0.5942028985507246,0.2643964615238276,0.34158683541560697
