seed,bbox_P,bbox_R,bbox_F1,mAP50
0,0.8666666666666667,0.5416666666666666,0.6666666666666667,0.679787524095282
1,0.9047619047619048,0.6333333333333333,0.7450980392156863,0.7739152896672792
2,0.5915492957746479,0.6086956521739131,0.6,0.5937004179902132
3,0.6307692307692307,0.5616438356164384,0.5942028985507246,0.6018876378148903
4,0.5666666666666667,0.4927536231884058,0.5271317829457365,0.524645837024841
