train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.8,10,none,-,0.987012987012987,0.7450980392156863,0.8491620111731845,nan,nan
0.8,10,abs,0.7,0.9473684210526315,0.7058823529411765,0.8089887640449439,0.28315779208113906,0.5169706563792715
0.8,11,none,-,1.0,0.6631578947368421,0.7974683544303798,nan,nan
0.8,11,abs,0.7,0.8875,0.7473684210526316,0.8114285714285715,0.35293102801635223,0.40498667051489917
0.8,12,none,-,0.9838709677419355,0.648936170212766,0.782051282051282,nan,nan
0.8,12,abs,0.7,0.9848484848484849,0.6914893617021277,0.8125000000000001,0.27782401850407845,0.33097071741663275
0.8,13,none,-,0.9814814814814815,0.6162790697674418,0.757142857142857,nan,nan
0.8,13,abs,0.7,0.9375,0.6976744186046512,0.8000000000000002,0.3730361063674067,0.4625266229471428
0.8,14,none,-,0.9857142857142858,0.7666666666666667,0.8625,nan,nan
0.8,14,abs,0.7,0.9861111111111112,0.7888888888888889,0.8765432098765433,0.3269669528401741,0.3755866385818081
0.8,15,none,-,0.9743589743589743,0.7378640776699029,0.839779005524862,nan,nan
0.8,15,abs,0.7,0.9397590361445783,0.7572815533980582,0.8387096774193548,0.34054928463584727,0.40206499755731784
0.8,16,none,-,0.9210526315789473,0.7,0.7954545454545453,nan,nan
0.8,16,abs,0.7,1.0,0.65,0.787878787878788,0.2931975263732266,0.3318502966685628
0.8,17,none,-,0.9444444444444444,0.6938775510204082,0.7999999999999999,nan,nan
0.8,17,abs,0.7,0.9682539682539683,0.6224489795918368,0.7577639751552796,0.31962665330302653,0.3638538712475565
0.8,18,none,-,1.0,0.6835443037974683,0.8120300751879699,nan,nan
0.8,18,abs,0.7,0.9629629629629629,0.6582278481012658,0.7819548872180452,0.34144825705643245,0.4185019865454662
0.8,19,none,-,0.9710144927536232,0.6767676767676768,0.7976190476190476,nan,nan
0.8,19,abs,0.7,0.9583333333333334,0.696969696969697,0.8070175438596493,0.37422843442330256,0.4593782878087257
