seed,n_gt,bbox_recall,bbox_mAP50
0,118,0.7711864406779662,0.7033802434499299
1,106,0.8301886792452831,0.8025405432760958
2,109,0.8440366972477065,0.7769882271368546
3,123,0.7967479674796748,0.7005877730354738
4,111,0.7297297297297297,0.6966624338451441
