seed,n_gt,bbox_recall,bbox_mAP50
0,118,0.9067796610169492,0.7994009835384667
1,106,0.9528301886792453,0.8644360945333491
2,109,0.926605504587156,0.8192417482636152
3,123,0.9349593495934959,0.8120157906468602
4,111,0.8828828828828829,0.7589001960829065
