seed,config,bbox_P,bbox_R,bbox_F1,attn_band_iou
0,with_attn,0.7551020408163265,0.3135593220338983,0.4431137724550898,0.17577052308458124
0,no_attn,0.5540540540540541,0.3474576271186441,0.4270833333333333,nan
1,with_attn,0.6666666666666666,0.32075471698113206,0.4331210191082802,0.18307085760384453
1,no_attn,0.6938775510204082,0.32075471698113206,0.4387096774193548,nan
2,with_attn,0.5714285714285714,0.3302752293577982,0.4186046511627907,0.15144591872714713
2,no_attn,0.7413793103448276,0.3944954128440367,0.5149700598802396,nan
3,with_attn,0.6933333333333334,0.42276422764227645,0.5252525252525252,0.15954679670491625
3,no_attn,0.5520833333333334,0.43089430894308944,0.4840182648401827,nan
4,with_attn,0.6842105263157895,0.35135135135135137,0.4642857142857143,0.10334299155684332
4,no_attn,0.5652173913043478,0.35135135135135137,0.43333333333333335,nan
