invert_aug,seed,map50,map50_95
True,0,0.6886580111554093,0.3205790578558573
True,1,0.5614436067281732,0.28015616099890683
True,2,0.5131375202739935,0.22809085394381912
True,3,0.8057214350664389,0.38101267854967374
True,4,0.7516810804780288,0.351410697052003
False,0,0.653642397354655,0.3217611982576174
False,1,0.5609055466177517,0.2675177322617235
False,2,0.5533435974145201,0.24299998670029713
False,3,0.7678896400155584,0.3646116452168099
False,4,0.7070688907347268,0.3214429705276924
