seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0,none,1,0.7040816326530612,0.46,0.5564516129032259,nan,nan
0,abs,1,0.7107438016528925,0.5733333333333334,0.6346863468634686,0.23654633034650646,0.2716654750022204
1,none,1,0.40131578947368424,0.4765625,0.4357142857142857,nan,nan
1,abs,1,0.6194690265486725,0.546875,0.5809128630705394,0.251786116594942,0.3329568840857399
2,none,1,0.5234899328859061,0.5954198473282443,0.5571428571428572,nan,nan
2,abs,1,0.6212121212121212,0.6259541984732825,0.623574144486692,0.2749567789513493,0.3604943027719855
3,none,1,0.7058823529411765,0.4864864864864865,0.5760000000000001,nan,nan
3,abs,1,0.6134453781512605,0.49324324324324326,0.5468164794007491,0.2435716968747273,0.3241122654075489
4,none,1,0.5353535353535354,0.3925925925925926,0.452991452991453,nan,nan
4,abs,1,0.6187050359712231,0.6370370370370371,0.6277372262773724,0.24320719358095896,0.30750639651853
