lambda_size,pixel_precision,pixel_recall,pixel_f1,global_iou
0.000000,0.420237,0.715406,0.527883,0.359391
0.100000,0.414061,0.712966,0.523326,0.354920
0.250000,0.399857,0.715245,0.512437,0.345007
0.500000,0.411168,0.718894,0.521994,0.354061
1.000000,0.409785,0.714926,0.520060,0.351912
2.000000,0.408671,0.713948,0.519089,0.350990
3.000000,0.403371,0.712380,0.514285,0.346686
5.000000,0.418953,0.710639,0.525818,0.357752
10.000000,0.389925,0.683717,0.496078,0.330235
