direction,train_domain,test_domain,seed,mode,best_epoch,val_F1,cross_P,cross_R,cross_F1,cross_attn_iou,cross_attn_gap
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,10,none,140,0.8506787330316742,0.14779874213836477,0.1934156378600823,0.16755793226381463,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,10,abs,50,0.8430493273542602,0.15756302521008403,0.15432098765432098,0.1559251559251559,0.15500573034123258,0.24214948842952863
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,11,none,70,0.826530612244898,0.2064516129032258,0.19753086419753085,0.2018927444794953,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,11,abs,140,0.8342245989304813,0.2874251497005988,0.09876543209876543,0.1470137825421133,0.11959744322045424,0.13902523573864495
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,12,none,85,0.8401826484018264,0.2290748898678414,0.10699588477366255,0.1458625525946704,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,12,abs,150,0.8482142857142857,0.17202797202797201,0.25308641975308643,0.20482930890924228,0.13908051714670794,0.18446085695817024
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,13,none,140,0.7739130434782607,0.155096011816839,0.21604938271604937,0.18056749785038692,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,13,abs,135,0.7965367965367965,0.13083048919226395,0.2366255144032922,0.1684981684981685,0.15133047593535137,0.19520697905592113
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,14,none,130,0.852017937219731,0.11072056239015818,0.12962962962962962,0.11943127962085308,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,14,abs,145,0.852017937219731,0.19813519813519814,0.1748971193415638,0.18579234972677597,0.12876629365046594,0.13774536389969919
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,15,none,130,0.771186440677966,0.12277580071174377,0.1419753086419753,0.1316793893129771,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,15,abs,145,0.8310502283105022,0.10204081632653061,0.11316872427983539,0.10731707317073172,0.1425854244527496,0.18173112018100712
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,16,none,145,0.8080808080808081,0.11019736842105263,0.13786008230452676,0.12248628884826325,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,16,abs,125,0.8307692307692307,0.11209068010075567,0.1831275720164609,0.13906249999999998,0.1544554894825597,0.18872408580156882
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,17,none,75,0.8034934497816594,0.125,0.09053497942386832,0.10501193317422435,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,17,abs,100,0.8636363636363636,0.20303030303030303,0.13786008230452676,0.16421568627450983,0.14087688263924283,0.19631462011438167
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,18,none,60,0.8135593220338982,0.10163339382940109,0.11522633744855967,0.10800385728061716,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,18,abs,105,0.84070796460177,0.1610738255033557,0.14814814814814814,0.15434083601286175,0.09849573632269809,0.11028115867780956
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,19,none,100,0.8301886792452831,0.11740041928721175,0.11522633744855967,0.11630321910695743,nan,nan
augmented_utilities→images-selected-shuangquxian,augmented_utilities,images-selected-shuangquxian,19,abs,65,0.8545454545454545,0.17128874388254486,0.21604938271604937,0.19108280254777069,0.13056325556325557,0.17227408793474985
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,10,none,145,0.8761904761904762,0.4,0.03296703296703297,0.060913705583756354,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,10,abs,120,0.813664596273292,0.4067796610169492,0.06593406593406594,0.11347517730496455,0.053483330841680374,0.04277875616091842
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,11,none,150,0.8742138364779874,0.4,0.038461538461538464,0.07017543859649124,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,11,abs,145,0.8791946308724831,0.5238095238095238,0.03021978021978022,0.05714285714285714,0.05644673661746399,0.04700590088064221
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,12,none,140,0.875,0.5333333333333333,0.06593406593406594,0.11735941320293398,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,12,abs,130,0.8184615384615385,0.41025641025641024,0.04395604395604396,0.07940446650124071,0.04961281506225326,0.03657560157182897
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,13,none,110,0.810810810810811,0.40816326530612246,0.054945054945054944,0.09685230024213073,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,13,abs,105,0.8357142857142857,0.4067796610169492,0.06593406593406594,0.11347517730496455,0.0718428960793906,0.06237486247551817
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,14,none,65,0.8135593220338984,0.34782608695652173,0.04395604395604396,0.07804878048780488,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,14,abs,130,0.875,0.42857142857142855,0.024725274725274724,0.04675324675324675,0.06342917251051894,0.053029479166941645
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,15,none,110,0.8279883381924198,0.4666666666666667,0.038461538461538464,0.07106598984771574,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,15,abs,110,0.9036144578313252,0.4,0.03296703296703297,0.060913705583756354,0.05519699812382739,0.04095388708427428
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,16,none,105,0.78125,0.3191489361702128,0.08241758241758242,0.13100436681222707,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,16,abs,125,0.8134556574923548,0.3333333333333333,0.054945054945054944,0.09433962264150943,0.06488762090320785,0.05416034534648303
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,17,none,130,0.8486646884272997,0.3870967741935484,0.03296703296703297,0.06075949367088608,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,17,abs,135,0.8249258160237389,0.5441176470588235,0.10164835164835165,0.1712962962962963,0.08919628786552268,0.07356654118640432
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,18,none,110,0.842911877394636,0.5185185185185185,0.038461538461538464,0.07161125319693096,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,18,abs,150,0.8175182481751825,0.39473684210526316,0.04120879120879121,0.07462686567164178,0.07780320366132723,0.06373370138200828
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,19,none,150,0.8289855072463768,0.41935483870967744,0.03571428571428571,0.06582278481012659,nan,nan
images-selected-shuangquxian→augmented_utilities,images-selected-shuangquxian,augmented_utilities,19,abs,145,0.8563049853372433,0.375,0.04120879120879121,0.07425742574257425,0.04075542965061379,0.034224324554442014
