lambda_size,n_seeds,pixel_precision_mean,pixel_precision_std,pixel_precision,pixel_recall_mean,pixel_recall_std,pixel_recall,pixel_f1_mean,pixel_f1_std,pixel_f1,global_iou_mean,global_iou_std,global_iou
0.0,10,0.4202371065177277,0.044163503172711456,0.4202 ± 0.0442,0.7154063047478327,0.04082903322605468,0.7154 ± 0.0408,0.5278832257961834,0.037821659764400675,0.5279 ± 0.0378,0.3593907237165889,0.034733386392395524,0.3594 ± 0.0347
0.1,10,0.4140605450638583,0.032011993923781956,0.4141 ± 0.0320,0.712965540165438,0.03477226760071148,0.7130 ± 0.0348,0.5233256904691294,0.030837016426633928,0.5233 ± 0.0308,0.3549200078716993,0.02794789999216315,0.3549 ± 0.0279
0.25,10,0.39985667866274355,0.03048587582657348,0.3999 ± 0.0305,0.7152448744046728,0.03820078145650387,0.7152 ± 0.0382,0.512436671664329,0.03114744677532782,0.5124 ± 0.0311,0.34500719602033475,0.027950012938161576,0.3450 ± 0.0280
0.5,10,0.4111683814918331,0.044035200368317734,0.4112 ± 0.0440,0.718894128529593,0.0364492641191121,0.7189 ± 0.0364,0.5219940123411755,0.03993643801935275,0.5220 ± 0.0399,0.3540613504860006,0.03647495542522208,0.3541 ± 0.0365
1.0,10,0.40978500909102966,0.03392840229302578,0.4098 ± 0.0339,0.7149257077572765,0.03432577665097043,0.7149 ± 0.0343,0.5200596334796762,0.030282123537844315,0.5201 ± 0.0303,0.3519123227265901,0.027508755788033818,0.3519 ± 0.0275
2.0,10,0.4086709214823835,0.02938917544920078,0.4087 ± 0.0294,0.7139478307322158,0.04167464392612908,0.7139 ± 0.0417,0.5190890164362278,0.028877028863896325,0.5191 ± 0.0289,0.35099011276356096,0.02679090919817253,0.3510 ± 0.0268
3.0,10,0.40337087018585543,0.03303778669657054,0.4034 ± 0.0330,0.7123796685719526,0.03965917403952173,0.7124 ± 0.0397,0.5142851182426281,0.03124756902424907,0.5143 ± 0.0312,0.34668633623318496,0.028162407000276085,0.3467 ± 0.0282
5.0,10,0.41895263266355237,0.04860508243414032,0.4190 ± 0.0486,0.7106385982459649,0.039231939529668386,0.7106 ± 0.0392,0.5258175066166674,0.04371336876339643,0.5258 ± 0.0437,0.3577522318476673,0.04002835028383896,0.3578 ± 0.0400
10.0,10,0.389925277952379,0.028695498541916303,0.3899 ± 0.0287,0.6837168181160456,0.030179929866962125,0.6837 ± 0.0302,0.49607763857329246,0.02659388485391897,0.4961 ± 0.0266,0.3302345226342264,0.02379523093895317,0.3302 ± 0.0238
