metric,best_lambda,best_mean,best_std
pixel_precision,0.0,0.4202371065177277,0.044163503172711456
pixel_recall,0.5,0.718894128529593,0.0364492641191121
pixel_f1,0.0,0.5278832257961834,0.037821659764400675
global_iou,0.0,0.3593907237165889,0.034733386392395524
