config,bbox_P,bbox_R,bbox_F1,attn_band_iou
with_attn,0.8260869565217391,0.3220338983050847,0.4634146341463415,0.1883081289862031
no_attn,0.5540540540540541,0.3474576271186441,0.4270833333333333,nan
