train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.8,10,none,-,0.987012987012987,0.7450980392156863,0.8491620111731845,nan,nan
0.8,10,abs,0.3,0.9753086419753086,0.7745098039215687,0.8633879781420766,0.34115560129453343,0.39133328829302627
0.8,10,abs,0.5,1.0,0.803921568627451,0.891304347826087,0.3101428127374456,0.5034331051574554
0.8,10,abs,3,0.71,0.696078431372549,0.7029702970297029,0.25035920898400577,0.5238708789511293
0.8,10,abs,5,0.9770114942528736,0.8333333333333334,0.8994708994708996,0.3264460921760442,0.5691248310995434
0.8,11,none,-,1.0,0.6631578947368421,0.7974683544303798,nan,nan
0.8,11,abs,0.3,0.8904109589041096,0.6842105263157895,0.7738095238095238,0.346351849288431,0.42206938253460274
0.8,11,abs,0.5,0.9324324324324325,0.7263157894736842,0.8165680473372782,0.3687405262478164,0.45411020409195657
0.8,11,abs,3,0.875,0.7368421052631579,0.7999999999999999,0.41401090807182944,0.4922347255595659
0.8,11,abs,5,0.9583333333333334,0.7263157894736842,0.8263473053892216,0.4128017778376376,0.5193042629248192
0.8,12,none,-,0.9838709677419355,0.648936170212766,0.782051282051282,nan,nan
0.8,12,abs,0.3,0.8947368421052632,0.723404255319149,0.8,0.3134186701811154,0.5229085910592287
0.8,12,abs,0.5,0.9714285714285714,0.723404255319149,0.8292682926829269,0.3784430986785307,0.5295285826127621
0.8,12,abs,3,0.8488372093023255,0.776595744680851,0.8111111111111111,0.3988541621512275,0.5185675515039336
0.8,12,abs,5,0.9166666666666666,0.7021276595744681,0.7951807228915662,0.38863993481929815,0.4725606105926018
0.8,13,none,-,0.9814814814814815,0.6162790697674418,0.757142857142857,nan,nan
0.8,13,abs,0.3,1.0,0.6744186046511628,0.8055555555555556,0.3223386888366435,0.3822920158365002
0.8,13,abs,0.5,0.96875,0.7209302325581395,0.8266666666666667,0.3443975903614458,0.428543497749146
0.8,13,abs,3,0.9811320754716981,0.6046511627906976,0.7482014388489208,0.3314379553066968,0.3878195254919341
0.8,13,abs,5,0.9508196721311475,0.6744186046511628,0.7891156462585034,0.3792205743136636,0.41235610360967084
0.8,14,none,-,0.9857142857142858,0.7666666666666667,0.8625,nan,nan
0.8,14,abs,0.3,0.9857142857142858,0.7666666666666667,0.8625,0.3373395087061031,0.3901007222066255
0.8,14,abs,0.5,0.96,0.8,0.8727272727272728,0.3643888607735343,0.42767411445311154
0.8,14,abs,3,0.9866666666666667,0.8222222222222222,0.896969696969697,0.39748102899965365,0.5343874681748275
0.8,14,abs,5,0.9102564102564102,0.7888888888888889,0.8452380952380951,0.38877416698379824,0.5331792022006994
0.8,15,none,-,0.9743589743589743,0.7378640776699029,0.839779005524862,nan,nan
0.8,15,abs,0.3,0.9722222222222222,0.6796116504854369,0.8,0.3437390063389864,0.4059934255947155
0.8,15,abs,0.5,0.9230769230769231,0.8155339805825242,0.865979381443299,0.3560977902518616,0.4101687128095364
0.8,15,abs,3,0.9425287356321839,0.7961165048543689,0.863157894736842,0.3854838496946676,0.49311432873946615
0.8,15,abs,5,0.9148936170212766,0.8349514563106796,0.8730964467005077,0.4067549064354176,0.4904561377315986
0.8,16,none,-,0.9210526315789473,0.7,0.7954545454545453,nan,nan
0.8,16,abs,0.3,1.0,0.68,0.8095238095238095,0.31930880923260263,0.3943696871137945
0.8,16,abs,0.5,0.958904109589041,0.7,0.8092485549132947,0.24007640188017795,0.27352747420991363
0.8,16,abs,3,0.8279569892473119,0.77,0.7979274611398963,0.36410431046903036,0.4499945071147522
0.8,16,abs,5,0.9473684210526315,0.72,0.8181818181818181,0.3551092960394876,0.4014099702344538
0.8,17,none,-,0.9444444444444444,0.6938775510204082,0.7999999999999999,nan,nan
0.8,17,abs,0.3,0.9420289855072463,0.6632653061224489,0.778443113772455,0.2837730560133149,0.4291952351195505
0.8,17,abs,0.5,0.8433734939759037,0.7142857142857143,0.7734806629834255,0.3334972151792048,0.4273997678392334
0.8,17,abs,3,0.9210526315789473,0.7142857142857143,0.8045977011494253,0.33157575812388645,0.3655712903064341
0.8,17,abs,5,0.8522727272727273,0.7653061224489796,0.8064516129032258,0.3350160837470482,0.3686180922386484
0.8,18,none,-,1.0,0.6835443037974683,0.8120300751879699,nan,nan
0.8,18,abs,0.3,0.9642857142857143,0.6835443037974683,0.7999999999999999,0.32619259686165614,0.3802749393877411
0.8,18,abs,0.5,0.9298245614035088,0.6708860759493671,0.7794117647058824,0.360555940473864,0.45241750901498434
0.8,18,abs,3,0.9642857142857143,0.6835443037974683,0.7999999999999999,0.384773395886523,0.46728991635978995
0.8,18,abs,5,0.9344262295081968,0.7215189873417721,0.8142857142857143,0.387353365977384,0.4366476884008282
0.8,19,none,-,0.9710144927536232,0.6767676767676768,0.7976190476190476,nan,nan
0.8,19,abs,0.3,0.9850746268656716,0.6666666666666666,0.7951807228915662,0.3107682597063528,0.3428575779156139
0.8,19,abs,0.5,0.9736842105263158,0.7474747474747475,0.8457142857142858,0.38259305927442644,0.46080255696535233
0.8,19,abs,3,0.9736842105263158,0.7474747474747475,0.8457142857142858,0.40830534664530366,0.5715537955873601
0.8,19,abs,5,0.9722222222222222,0.7070707070707071,0.8187134502923977,0.3975935158621842,0.5657860513569579
