seed,mode,lr,lam_att,best_epoch,val_P,val_R,val_F1,val_attn_iou
10,none,0.0002,-,130,0.8596491228070176,0.8166666666666667,0.8376068376068376,nan
10,none,0.0005,-,140,0.8833333333333333,0.8833333333333333,0.8833333333333333,nan
10,none,0.001,-,80,0.864406779661017,0.85,0.8571428571428572,nan
10,abs,0.0002,0.1,150,0.8064516129032258,0.8333333333333334,0.819672131147541,0.3801215447951382
10,abs,0.0002,0.3,50,0.8867924528301887,0.7833333333333333,0.8318584070796461,0.3469615313138822
10,abs,0.0002,0.5,125,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.38408807644370585
10,abs,0.0002,0.7,150,0.864406779661017,0.85,0.8571428571428572,0.36020096111839234
10,abs,0.0002,1.0,115,0.7605633802816901,0.9,0.8244274809160305,0.3816038728688697
10,abs,0.0002,3,125,0.7391304347826086,0.85,0.7906976744186046,0.4388781431334623
10,abs,0.0002,5,65,0.828125,0.8833333333333333,0.8548387096774193,0.380479735318445
10,abs,0.0002,7,130,0.8125,0.8666666666666667,0.8387096774193549,0.44440007985625873
10,abs,0.0002,10,75,0.9074074074074074,0.8166666666666667,0.8596491228070176,0.39276595744680853
10,abs,0.0005,0.1,140,0.864406779661017,0.85,0.8571428571428572,0.4093350620485275
10,abs,0.0005,0.3,85,0.8028169014084507,0.95,0.8702290076335878,0.39848895776830684
10,abs,0.0005,0.5,100,0.8947368421052632,0.85,0.8717948717948718,0.3653597587246876
10,abs,0.0005,0.7,50,0.9107142857142857,0.85,0.8793103448275861,0.38727363349393584
10,abs,0.0005,1.0,75,0.873015873015873,0.9166666666666666,0.894308943089431,0.39186728707262797
10,abs,0.0005,3,125,0.8888888888888888,0.9333333333333333,0.9105691056910569,0.43998309382924766
10,abs,0.0005,5,75,0.85,0.85,0.85,0.446656050955414
10,abs,0.0005,7,120,0.7808219178082192,0.95,0.8571428571428571,0.45936325884912005
10,abs,0.0005,10,150,0.8615384615384616,0.9333333333333333,0.8960000000000001,0.44761709120788823
10,abs,0.001,0.1,90,0.8571428571428571,0.9,0.8780487804878048,0.3873539773780827
10,abs,0.001,0.3,140,0.7887323943661971,0.9333333333333333,0.8549618320610686,0.43379076813402245
10,abs,0.001,0.5,150,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.4054736842105263
10,abs,0.001,0.7,105,0.7887323943661971,0.9333333333333333,0.8549618320610686,0.4016779210149376
10,abs,0.001,1.0,50,0.803030303030303,0.8833333333333333,0.8412698412698413,0.40507631624078205
10,abs,0.001,3,140,0.84375,0.9,0.870967741935484,0.4443305310641788
10,abs,0.001,5,130,0.859375,0.9166666666666666,0.8870967741935484,0.4581549240949786
10,abs,0.001,7,50,0.8253968253968254,0.8666666666666667,0.8455284552845528,0.436356158749743
10,abs,0.001,10,110,0.8208955223880597,0.9166666666666666,0.8661417322834646,0.47248322147651006
11,none,0.0002,-,150,0.8,0.7659574468085106,0.7826086956521738,nan
11,none,0.0005,-,70,0.8043478260869565,0.7872340425531915,0.795698924731183,nan
11,none,0.001,-,80,0.84,0.8936170212765957,0.8659793814432989,nan
11,abs,0.0002,0.1,100,0.782608695652174,0.7659574468085106,0.7741935483870968,0.3594563986409966
11,abs,0.0002,0.3,150,0.7272727272727273,0.851063829787234,0.7843137254901961,0.34148224395265053
11,abs,0.0002,0.5,120,0.7307692307692307,0.8085106382978723,0.7676767676767676,0.3805821371610845
11,abs,0.0002,0.7,100,0.825,0.7021276595744681,0.7586206896551724,0.2718343509423945
11,abs,0.0002,1.0,140,0.8372093023255814,0.7659574468085106,0.8,0.3735785143963223
11,abs,0.0002,3,115,0.7959183673469388,0.8297872340425532,0.8125,0.3553378029912326
11,abs,0.0002,5,115,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.3831982313927782
11,abs,0.0002,7,140,0.8541666666666666,0.8723404255319149,0.8631578947368421,0.38088306647258613
11,abs,0.0002,10,90,0.8095238095238095,0.723404255319149,0.7640449438202246,0.4059694248968697
11,abs,0.0005,0.1,95,0.8541666666666666,0.8723404255319149,0.8631578947368421,0.37384473197781887
11,abs,0.0005,0.3,115,0.8809523809523809,0.7872340425531915,0.8314606741573034,0.3730856138589003
11,abs,0.0005,0.5,120,0.9024390243902439,0.7872340425531915,0.8409090909090909,0.3583397782933746
11,abs,0.0005,0.7,140,0.9047619047619048,0.8085106382978723,0.853932584269663,0.3745280644349358
11,abs,0.0005,1.0,120,0.7692307692307693,0.851063829787234,0.8080808080808081,0.4027997290584782
11,abs,0.0005,3,135,0.8269230769230769,0.9148936170212766,0.8686868686868686,0.4128081087307072
11,abs,0.0005,5,120,0.8604651162790697,0.7872340425531915,0.8222222222222222,0.35819381024860475
11,abs,0.0005,7,125,0.8235294117647058,0.8936170212765957,0.8571428571428571,0.4200426439232409
11,abs,0.0005,10,110,0.9069767441860465,0.8297872340425532,0.8666666666666666,0.40547811200782585
11,abs,0.001,0.1,120,0.8260869565217391,0.8085106382978723,0.8172043010752688,0.40183446167285436
11,abs,0.001,0.3,125,0.8260869565217391,0.8085106382978723,0.8172043010752688,0.3845415266442631
11,abs,0.001,0.5,115,0.7959183673469388,0.8297872340425532,0.8125,0.43278615794143743
11,abs,0.001,0.7,150,0.8666666666666667,0.8297872340425532,0.8478260869565217,0.4025670945157526
11,abs,0.001,1.0,95,0.9090909090909091,0.851063829787234,0.8791208791208791,0.37395259755805604
11,abs,0.001,3,115,0.8541666666666666,0.8723404255319149,0.8631578947368421,0.4045368620037807
11,abs,0.001,5,140,0.8163265306122449,0.851063829787234,0.8333333333333334,0.4108383510884669
11,abs,0.001,7,135,0.8125,0.8297872340425532,0.8210526315789474,0.3984225621414914
11,abs,0.001,10,60,0.7818181818181819,0.9148936170212766,0.8431372549019609,0.36294747844264436
12,none,0.0002,-,80,0.7818181818181819,0.7818181818181819,0.7818181818181819,nan
12,none,0.0005,-,85,0.7894736842105263,0.8181818181818182,0.8035714285714286,nan
12,none,0.001,-,40,0.7894736842105263,0.8181818181818182,0.8035714285714286,nan
12,abs,0.0002,0.1,125,0.7166666666666667,0.7818181818181819,0.7478260869565218,0.32260551165927925
12,abs,0.0002,0.3,140,0.7096774193548387,0.8,0.7521367521367521,0.3616404308202154
12,abs,0.0002,0.5,140,0.6756756756756757,0.9090909090909091,0.7751937984496124,0.3932085664672969
12,abs,0.0002,0.7,145,0.7288135593220338,0.7818181818181819,0.7543859649122807,0.3932642487046632
12,abs,0.0002,1.0,120,0.7096774193548387,0.8,0.7521367521367521,0.3690499132780883
12,abs,0.0002,3,95,0.618421052631579,0.8545454545454545,0.7175572519083969,0.3880354238207121
12,abs,0.0002,5,140,0.7076923076923077,0.8363636363636363,0.7666666666666666,0.3793340987370838
12,abs,0.0002,7,120,0.6666666666666666,0.8363636363636363,0.7419354838709676,0.38540753724802806
12,abs,0.0002,10,120,0.6567164179104478,0.8,0.7213114754098361,0.37941764836630365
12,abs,0.0005,0.1,135,0.8301886792452831,0.8,0.8148148148148149,0.34962735642262166
12,abs,0.0005,0.3,100,0.7758620689655172,0.8181818181818182,0.7964601769911505,0.3618421052631579
12,abs,0.0005,0.5,150,0.7301587301587301,0.8363636363636363,0.7796610169491525,0.3502157619804679
12,abs,0.0005,0.7,150,0.7931034482758621,0.8363636363636363,0.8141592920353982,0.39506716582250606
12,abs,0.0005,1.0,120,0.8333333333333334,0.8181818181818182,0.8256880733944955,0.3699908925318761
12,abs,0.0005,3,95,0.7419354838709677,0.8363636363636363,0.7863247863247863,0.4179135494596841
12,abs,0.0005,5,100,0.8070175438596491,0.8363636363636363,0.8214285714285714,0.41047659939888365
12,abs,0.0005,7,95,0.7288135593220338,0.7818181818181819,0.7543859649122807,0.39406028368794327
12,abs,0.0005,10,140,0.7014925373134329,0.8545454545454545,0.7704918032786885,0.42027710578403343
12,abs,0.001,0.1,135,0.7540983606557377,0.8363636363636363,0.793103448275862,0.35895871466341267
12,abs,0.001,0.3,120,0.7619047619047619,0.8727272727272727,0.8135593220338982,0.36250259821242986
12,abs,0.001,0.5,130,0.7619047619047619,0.8727272727272727,0.8135593220338982,0.38789594761989027
12,abs,0.001,0.7,130,0.7966101694915254,0.8545454545454545,0.8245614035087718,0.3907570918654894
12,abs,0.001,1.0,55,0.7580645161290323,0.8545454545454545,0.8034188034188033,0.2998655311519498
12,abs,0.001,3,135,0.7704918032786885,0.8545454545454545,0.810344827586207,0.4191368788142982
12,abs,0.001,5,75,0.734375,0.8545454545454545,0.7899159663865547,0.4175069727526282
12,abs,0.001,7,75,0.7538461538461538,0.8909090909090909,0.8166666666666667,0.41085868309587986
12,abs,0.001,10,125,0.7384615384615385,0.8727272727272727,0.8,0.4246603540551667
13,none,0.0002,-,140,0.7538461538461538,0.8448275862068966,0.7967479674796748,nan
13,none,0.0005,-,140,0.8392857142857143,0.8103448275862069,0.8245614035087718,nan
13,none,0.001,-,120,0.9038461538461539,0.8103448275862069,0.8545454545454546,nan
13,abs,0.0002,0.1,120,0.8135593220338984,0.8275862068965517,0.8205128205128206,0.3276157804459691
13,abs,0.0002,0.3,130,0.8363636363636363,0.7931034482758621,0.8141592920353982,0.3447013487475915
